noun,gender,number,english
restavracija,f,sg,restaurant
restavracije,f,pl,restaurants
bolnišnica,f,sg,hospital
bolnišnice,f,pl,hospitals
lekarna,f,sg,pharmacy
lekarne,f,pl,pharmacies
policijska postaja,f,sg,police station
policijske postaje,f,pl,police stations
zapor,m,sg,jail
zapori,m,pl,jails
banka,f,sg,bank
banke,f,pl,banks
pošta,f,sg,post office
pošte,f,pl,post offices
železniška postaja,f,sg,train station
železniške postaje,f,pl,train stations
avtobusna postaja,f,sg,bus station
avtobusne postaje,f,pl,bus stations
