noun,gender,number,english
raćunalnik,m,sg,computer
računalniki,m,pl,computers
tablica,f,sg,tablet
tablice,f,pl,tablets
televizija,f,sg,television
televizije,f,pl,televisions
avtomobil,m,sg,car
avtomobili,m,pl,cars
ura,f,sg,clock
ure,f,pl,clocks
ključ,m,sg,key
klući,m,pl,keys
ćasopis,m,sg,newspaper
časopisi,m,pl,newspapers
nahrbtnik,m,sg,backpack
nahrbtniki,m,pl,backpacks
torba,f,sg,bag
torbe,f,pl,bags
torbica,f,sg,purse
torbice,f,pl,purses
zvezek,m,sg,notebook
zvezeki,m,pl,notebooks
slovar,m,sg,dictionary
slovarji,m,pl,dictionaries
